serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
95016,,Sukhoi SuperJet 100,100-95B,02/03/2012,,,SaM146,2,RA-89008,31/07/2015,Red Wings Airlines,Stored 04/2016,Transferred
95016,,Sukhoi SuperJet 100,100-95B,02/03/2012,,,SaM146,2,RA-89008,01/07/2016,IrAero,Stored 09/2019Lsd From Gtlk,Stored
95017,,Sukhoi SuperJet 100,100-95B,29/04/2012,,,SaM146,2,RA-89009,28/07/2012,Aeroflot,Stored 10/2014Named V.borisov,Stored
95018,,Sukhoi SuperJet 100,100-95B,12/07/2012,7.7,,SaM146,2,RA-89010,17/09/2012,Aeroflot,Stored 06/2014lsd from Veb LeasingNamed Boris Bugaev,Transferred
95018,,Sukhoi SuperJet 100,100-95B,12/07/2012,7.7,,SaM146,2,RA-89010,21/10/2015,Red Wings Airlines,Stored 04/2016,Transferred
95018,,Sukhoi SuperJet 100,100-95B,12/07/2012,7.7,,SaM146,2,RA-89010,01/07/2016,IrAero,Lsd From Gtlk,Active
95019,,Sukhoi SuperJet 100,100-95B,13/08/2012,,,SaM146,2,RA-89011,18/12/2012,Yakutia Airlines,,Written off
95020,,Sukhoi SuperJet 100,100-95B,25/11/2012,7.4,,SaM146,2,RA-89012,31/01/2013,Yakutia Airlines,Stored end 2017 to 05/2019Named  Roman Dmitriev,Active
95021,,Sukhoi SuperJet 100,100-95B,03/06/2012,7.9,,SaM146,2,RA-89021,09/08/2013,Moskovia Airlines,Named Yuri Sheffer,Transferred
95021,,Sukhoi SuperJet 100,100-95B,03/06/2012,7.9,,SaM146,2,RA-89021,22/12/2013,Royal Air Maroc,lsd from Moskovia Airlines,Transferred
95021,,Sukhoi SuperJet 100,100-95B,03/06/2012,7.9,,SaM146,2,RA-89021,05/01/2014,Moskovia Airlines,AOC revoked on 29 Aug. 14,Transferred
95021,,Sukhoi SuperJet 100,100-95B,03/06/2012,7.9,,SaM146,2,RA-89021,19/01/2015,Red Wings Airlines,Stored 05/2016,Transferred
95021,,Sukhoi SuperJet 100,100-95B,03/06/2012,7.9,,SaM146,2,RA-89021,01/06/2016,Yakutia Airlines,Lsf Gtlk,Active
95022,,Sukhoi SuperJet 100,100-95B,20/10/2012,,97006,SaM146,2,PK-ECL,29/12/2012,Sky Aviation Indonesia,Stored,Stored
